rule_id,ante,base,conf,aad
3,pricina_skupina(nedání přednosti) & druh_nehody(srážka s chodcem) & alkohol_u_vinika_skupina(ne),12433,0.947,3.25
4,pricina_skupina(nedání přednosti) & druh_nehody(srážka s chodcem) & smyk_nazev(ne),13013,0.946,3.242
1,pricina_skupina(nedání přednosti) & druh_nehody(srážka s chodcem),14640,0.945,3.239
2,pricina_skupina(nedání přednosti) & druh_nehody(srážka s chodcem) & druh_srazky_jedoucich_vozidel(<NA>),14640,0.945,3.239
5,pricina_skupina(nedání přednosti) & druh_nehody(srážka s chodcem) & pocet_zucastnenych_vozidel_skupina(1 vozidlo),14503,0.945,3.239
6,pricina_skupina(nedání přednosti) & druh_nehody(srážka s chodcem) & lokalita_nehody(v obci),14595,0.945,3.239
225,druh_nehody(srážka s chodcem) & alkohol_u_vinika_skupina(ne) & rocni_obdobi(podzim),10639,0.941,3.222
213,druh_nehody(srážka s chodcem) & druh_srazky_jedoucich_vozidel(<NA>) & denni_doba(ranní špička),10133,0.939,3.213
253,druh_nehody(srážka s chodcem) & denni_doba(ranní špička),10133,0.939,3.213
226,druh_nehody(srážka s chodcem) & alkohol_u_vinika_skupina(ne) & lokalita_nehody(v obci),33143,0.939,3.21
208,druh_nehody(srážka s chodcem) & druh_srazky_jedoucich_vozidel(<NA>) & alkohol_u_vinika_skupina(ne),35357,0.938,3.209
221,druh_nehody(srážka s chodcem) & alkohol_u_vinika_skupina(ne),35357,0.938,3.209
223,druh_nehody(srážka s chodcem) & alkohol_u_vinika_skupina(ne) & pocet_zucastnenych_vozidel_skupina(1 vozidlo),34508,0.938,3.208
228,druh_nehody(srážka s chodcem) & alkohol_u_vinika_skupina(ne) & deleni_komunikace(dvoupruhová),24988,0.938,3.208
222,druh_nehody(srážka s chodcem) & alkohol_u_vinika_skupina(ne) & smyk_nazev(ne),34214,0.938,3.207
224,druh_nehody(srážka s chodcem) & alkohol_u_vinika_skupina(ne) & denni_doba(odpolední špička),13846,0.936,3.198
229,druh_nehody(srážka s chodcem) & alkohol_u_vinika_skupina(ne) & smerove_pomery(přímý úsek),24018,0.934,3.19
96,pricina_skupina(nesprávný způsob jízdy) & druh_nehody(srážka s chodcem) & lokalita_nehody(v obci),13836,0.933,3.186
23,pricina_skupina(nedání přednosti) & alkohol_u_vinika_skupina(ne) & pocet_zucastnenych_vozidel_skupina(1 vozidlo),12434,0.933,3.185
91,pricina_skupina(nesprávný způsob jízdy) & druh_nehody(srážka s chodcem),15272,0.933,3.185
92,pricina_skupina(nesprávný způsob jízdy) & druh_nehody(srážka s chodcem) & druh_srazky_jedoucich_vozidel(<NA>),15272,0.933,3.185
95,pricina_skupina(nesprávný způsob jízdy) & druh_nehody(srážka s chodcem) & pocet_zucastnenych_vozidel_skupina(1 vozidlo),14749,0.933,3.184
227,druh_nehody(srážka s chodcem) & alkohol_u_vinika_skupina(ne) & druh_pozemni_komunikace(komunikace místní),15547,0.932,3.183
257,druh_nehody(srážka s chodcem) & rocni_obdobi(podzim) & lokalita_nehody(v obci),13013,0.932,3.182
93,pricina_skupina(nesprávný způsob jízdy) & druh_nehody(srážka s chodcem) & alkohol_u_vinika_skupina(ne),10677,0.932,3.181
94,pricina_skupina(nesprávný způsob jízdy) & druh_nehody(srážka s chodcem) & smyk_nazev(ne),12334,0.932,3.181
97,pricina_skupina(nesprávný způsob jízdy) & druh_nehody(srážka s chodcem) & deleni_komunikace(dvoupruhová),10945,0.932,3.18
215,druh_nehody(srážka s chodcem) & druh_srazky_jedoucich_vozidel(<NA>) & rocni_obdobi(podzim),13991,0.931,3.177
242,druh_nehody(srážka s chodcem) & pocet_zucastnenych_vozidel_skupina(1 vozidlo) & rocni_obdobi(podzim),13712,0.931,3.177
256,druh_nehody(srážka s chodcem) & rocni_obdobi(podzim),13991,0.931,3.177
262,druh_nehody(srážka s chodcem) & lokalita_nehody(v obci) & deleni_komunikace(dvoupruhová),30664,0.931,3.177
219,druh_nehody(srážka s chodcem) & druh_srazky_jedoucich_vozidel(<NA>) & deleni_komunikace(dvoupruhová),33405,0.931,3.176
267,druh_nehody(srážka s chodcem) & deleni_komunikace(dvoupruhová),33405,0.931,3.176
98,pricina_skupina(nesprávný způsob jízdy) & druh_nehody(srážka s chodcem) & smerove_pomery(přímý úsek),11665,0.931,3.175
246,druh_nehody(srážka s chodcem) & pocet_zucastnenych_vozidel_skupina(1 vozidlo) & deleni_komunikace(dvoupruhová),32634,0.931,3.175
217,druh_nehody(srážka s chodcem) & druh_srazky_jedoucich_vozidel(<NA>) & lokalita_nehody(v obci),44149,0.931,3.174
